Date : 2023-04-16 11:52:57
Directory : /Users/xing/Documents/projects/monitor/monitorAdmin
Total : 258 files,  21881 codes, 1148 comments, 2828 blanks, all 25857 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/hooks/useTableContext.ts              | TypeScript         |         17 |          0 |          6 |         23 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/props.ts                              | TypeScript         |         58 |          1 |          1 |         60 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/types/componentType.ts                | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/types/pagination.ts                   | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/types/table.ts                        | TypeScript         |         32 |          4 |          3 |         39 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/types/tableAction.ts                  | TypeScript         |         23 |          3 |          2 |         28 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Upload/index.ts                                 | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Upload/src/BasicUpload.vue                      | vue                |        270 |          4 |         37 |        311 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Upload/src/props.ts                             | TypeScript         |         33 |          0 |          2 |         35 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Upload/src/type/index.ts                        | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/config/website.config.ts                                   | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/clickOutside.ts                                 | TypeScript         |         76 |          1 |         10 |         87 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/copy.ts                                         | TypeScript         |         28 |          5 |          2 |         35 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/debounce.ts                                     | TypeScript         |         25 |          5 |          2 |         32 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/draggable.ts                                    | TypeScript         |         36 |         12 |          2 |         50 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/longpress.ts                                    | TypeScript         |         37 |         10 |          3 |         50 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/permission.ts                                   | TypeScript         |         18 |          0 |          2 |         20 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/throttle.ts                                     | TypeScript         |         30 |         10 |          2 |         42 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/breakpointEnum.ts                                    | TypeScript         |         24 |          0 |          5 |         29 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/cacheEnum.ts                                         | TypeScript         |          7 |          7 |          7 |         21 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/httpEnum.ts                                          | TypeScript         |         19 |         13 |          3 |         35 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/pageEnum.ts                                          | TypeScript         |          9 |          5 |          1 |         15 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/permissionsEnum.ts                                   | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/roleEnum.ts                                          | TypeScript         |          4 |          2 |          2 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/core/useTimeout.ts                                   | TypeScript         |         38 |          0 |         10 |         48 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/event/useBreakpoint.ts                               | TypeScript         |         77 |          2 |         11 |         90 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/event/useEventListener.ts                            | TypeScript         |         53 |          1 |          9 |         63 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/event/useWindowSizeFn.ts                             | TypeScript         |         30 |          0 |          7 |         37 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/index.ts                                             | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/setting/index.ts                                     | TypeScript         |         29 |          1 |          5 |         35 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/setting/useDesignSetting.ts                          | TypeScript         |         13 |          0 |          6 |         19 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/setting/useProjectSetting.ts                         | TypeScript         |         29 |          0 |         14 |         43 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/use-async.ts                                         | TypeScript         |         12 |          0 |          4 |         16 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/useBattery.ts                                        | TypeScript         |         66 |         17 |         11 |         94 |
